,title_rus,title_eng,edibility,divisio,classis,ordo,familia,genus,location,links,article_id
227,Неодасисцифа восковатая,Neodasyscypha cerina,Несъедобен,Ascomycota,Leotiomycetes,Leotiales,Hyaloscyphaceae,Neodasyscypha,ЮК ,../../articles.php?article_id=1119,1119
228,Олигопорус серо-белый,Oligoporus tephroleucus,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Rigidoporaceae,Oligoporus,ЮК ,../../articles.php?article_id=923,923
229,Олигопорус синевато-серый,Oligoporus caesius,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Rigidoporaceae,Oligoporus,ЮК ,../../articles.php?article_id=915,915
230,Онигена птичья,Onygena corvina,Несъедобен,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Onygena,ЮК ,../../articles.php?article_id=2144,2144
231,Опенок весенний,Kuehneromyces vernalis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Kuehneromyces,ЮК ,../../articles.php?article_id=1193,1193
232,Опенок желто-красный,Tricholomopsis rutilans,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholomopsis,ЮК ,../../articles.php?article_id=45,45
233,Опенок зимний,Flammulina velutipes,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,ЮК ,../../articles.php?article_id=458,458
234,Опенок летний,Kuehneromyces mutabilis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Kuehneromyces,ЮК ,../../articles.php?article_id=60,60
235,Опенок луговой,Marasmius oreades,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,,../../articles.php?article_id=660,660
236,Опенок осенний,Armillariella mellea,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Armillaria,ЮК ,../../articles.php?article_id=84,84
237,Отидея близкая,Otidea propinquata,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Otidea,ЮК ,../../articles.php?article_id=2499,2499
238,Отидея заячья,Otidea leporina,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Otideaceae,Otidea,ЮК ВК ,../../articles.php?article_id=820,820
239,Панеллюс вяжущий,Panellus stypticus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Panellus,ВК ,../../articles.php?article_id=919,919
240,Паутинник аномальный,Cortinarius anomalus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ВК ,../../articles.php?article_id=2495,2495
241,Паутинник багряный,Cortinarius purpurascens,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ВК ,../../articles.php?article_id=2344,2344
242,Паутинник буро-охристый,Cortinarius fulvoochrascens,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2443,2443
243,Паутинник двукольцовый,Cortinarius bivelus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,СК ,../../articles.php?article_id=2484,2484
244,Паутинник дрожащий,Cortinarius vibratilis,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2494,2494
245,Паутинник закатный,Cortinarius solis-occasus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2451,2451
246,Паутинник изменчивый,Cortinarius varius,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ВК ,../../articles.php?article_id=2444,2444
247,Паутинник лимонно-желтый,Cortinarius limonius,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2496,2496
248,Паутинник медно-красный,Cortinarius cupreorufus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2428,2428
249,Паутинник многообразный,Cortinarius multiformis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=36,36
250,Паутинник надломленный,Cortinarius infractus,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2452,2452
251,Паутинник намазаный,Cortinarius delibutus,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2291,2291
252,Паутинник обыкновенный,Cortinarius trivialis,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ВК ЮК ,../../articles.php?article_id=2372,2372
253,Паутинник олений,Cortinarius hinnuleus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2512,2512
254,Паутинник полуволосистый,Cortinarius hemitrichus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ВК СК ,../../articles.php?article_id=2111,2111
255,Паутинник превращающийся,Cortinarius transiens,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2492,2492
256,Паутинник пряный,Cortinarius percomis,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2442,2442
257,Паутинник светящийся,Cortinarius illuminus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2436,2436
258,Паутинник серебристошляпковый,Cortinarius argenteopileatus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ВК СК ,../../articles.php?article_id=2456,2456
259,Паутинник сизоножковый,Cortinarius glaucopus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК СК ,../../articles.php?article_id=2435,2435
260,Паутинник слизистый,Cortinarius mucosus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ВК СК ,../../articles.php?article_id=2473,2473
261,Паутинник собачий,Cortinarius caninus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2491,2491
262,Паутинник триумфальный,Cortinarius triumphans,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ВК СК ,../../articles.php?article_id=2510,2510
263,Паутинник тусклый,Cortinarius saturninus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2497,2497
264,Паутинник фиолетовый,Cortinarius violaceus,Съедобен,Basidiomycota,Agaricomycetes,Cortinariales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=64,64
265,Паутинник чернопоясковый,Cortinarius melanotus,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,ЮК ,../../articles.php?article_id=2493,2493
266,Паутинник шафрановый,Cortinarius croceus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,СК ,../../articles.php?article_id=2463,2463
267,Пестрец конский,Panaeolus solidipes,Галлюциногенный,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Panaeolus,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=124,124
268,Пестрец мотыльковый,Panaeolus papilionaceus,Галлюциногенный,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Panaeolus,ЮК ,../../articles.php?article_id=692,692
269,Пестрец полуяйцевидный,Panaeolus semiovatus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Panaeolus,ЮК ВК СК ,../../articles.php?article_id=2508,2508
270,Пецица коричневая,Peziza badia,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,ЮК ,../../articles.php?article_id=105,105
271,Пецица подвальная,Peziza cerea,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=653,653
272,Пецица пузырчатая,Peziza vesiculosa,Условносъедобен,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,ЮК ,../../articles.php?article_id=611,611
273,Пилолистник бокаловидный,Neolentinus cyathiformis,Съедобен,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Lentinus,ЮК ,../../articles.php?article_id=2207,2207
274,Пилолистник бороздчатый,Heliocybe sulcata,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Heliocybe,СК ,../../articles.php?article_id=2292,2292
275,Пилолистник волчий,Lentinellus vulpinus,Условносъедобен,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Lentinus,ЮК ,../../articles.php?article_id=2209,2209
276,Пилолистник тигровый,Lentinus tigrinus,Съедобен,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Lentinus,ЮК ВК ЦК СК ЗК ,../../articles.php?article_id=179,179
277,Пилолистник чешуйчатый,Neolentinus lepideus,Съедобен,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Neolentinus,ЮК ЦК ВК СК ,../../articles.php?article_id=2534,2534
278,Плютей львино-желтый,Pluteus leoninus,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,СК ,../../articles.php?article_id=2438,2438
279,Плютей олений,Pluteus cervinus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Pluteus,ЮК ВК СК ЗК ,../../articles.php?article_id=175,175
280,Плютей Ромелля,Pluteus romellii,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,ЮК ,../../articles.php?article_id=2150,2150
281,Подаксис пестичный,Podaxis pistillaris,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Podaxis,,../../articles.php?article_id=685,685
282,Подберезовик болотный,Leccinum holopus,Съедобен,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,ЮК СК ,../../articles.php?article_id=37,37
283,Подберезовик обыкновенный,Leccinum scabrum,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,ЮК ,../../articles.php?article_id=58,58
284,Подберезовик розовеющий,Leccinum oxydabile,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,СК ВК ,../../articles.php?article_id=2472,2472
285,Подгруздок белый,Russula delica,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК ВК СК ЗК ,../../articles.php?article_id=35,35
286,Подгруздок зеленовато-пласт...,Russula chloroides,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2549,2549
287,Подгруздок остропластинчатый,Russula acrifolia,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2548,2548
288,Подгруздок черный,Russula adusta,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ВК ,../../articles.php?article_id=2157,2157
289,Подосиновик белоножковый,Leccinum albostipitatum,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,СК ,../../articles.php?article_id=2461,2461
290,Подосиновик белый,Leccinum percandidum,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,СК ,../../articles.php?article_id=2466,2466
291,Подосиновик желто-бурый,Leccinum versipelle,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,ЮК ВК СК ЗК ,../../articles.php?article_id=2394,2394
292,Подосиновик красный,Leccinum aurantiacum,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,ЮК ВК СК ЗК ,../../articles.php?article_id=49,49
293,Подосиновик сосновый,Leccinum vulpinum,Съедобен,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,СК ,../../articles.php?article_id=2460,2460
294,Полипорус ямчатый,Polyporus arcularius,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,СК ,../../articles.php?article_id=2528,2528
295,Польский гриб,Xerocomus badius,Съедобен,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomus,СК ,../../articles.php?article_id=2377,2377
296,Поплавок Баттарры,Amanita battarrae,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,СК ,../../articles.php?article_id=2110,2110
297,Поплавок белоснежный,Amanita nivalis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,ЮК СК ,../../articles.php?article_id=2453,2453
298,Поплавок серый,Amanita vaginata,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,СК ВК ЗК ,../../articles.php?article_id=1997,1997
299,Поплавок шафранный,Amanita crocea,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,ВК СК ,../../articles.php?article_id=2454,2454
300,Порония точечная,Poronia punctata,Несъедобен,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Poronia,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=1171,1171
301,Порховка чернеющая,Bovista nigrescens,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Bovista,ЮК ВК ,../../articles.php?article_id=2285,2285
302,Псатирелла Кандолля,Psathyrella candolleana,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,ЮК ,../../articles.php?article_id=704,704
303,Псатирелла каштановая,Psathyrella spadicea,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,ЮК ,../../articles.php?article_id=1963,1963
304,Псилоцибе слабая,Psilocybe inquilina,Галлюциногенный,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Psilocybe,ЮК ,../../articles.php?article_id=166,166
305,Птерула разветвленная,Pterula multifida,Несъедобен,Basidiomycota,Basidiomycetes,Cantharellales,Pterulaceae,Pterula,ЮК ,../../articles.php?article_id=1982,1982
306,Ризопогон желтоватый,Rhizopogon luteolus,Съедобен,Basidiomycota,Agaricomycetes,Lycoperdales,Lycoperdaceae,Rhizopogon,СК ,../../articles.php?article_id=828,828
307,Рикенелла вдавленная,Rickenella fibula,Несъедобен,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Rickenella,СК ,../../articles.php?article_id=2257,2257
308,Рипартит рядовковидный,Ripartites tricholoma,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Ripartites,,../../articles.php?article_id=2283,2283
309,Рогатик бледный,Ramaria pallida,Ядовит,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,ЮК ,../../articles.php?article_id=2524,2524
310,Рогатик еловый,Phaeoclavulina abietina,Несъедобен,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Phaeoclavulina,ЮК ВК СК ,../../articles.php?article_id=2514,2514
311,Рогатик золотистый,Ramaria aurea,Съедобен,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,ЮК ,../../articles.php?article_id=72,72
312,Рогатик Михенера,Lentaria micheneri,Несъедобен,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Lentaria,СК ,../../articles.php?article_id=2525,2525
313,Рогатик стройный,Ramaria gracilis,Несъедобен,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,ЮК СК ,../../articles.php?article_id=2513,2513
314,Родоцибе ковшевидная,Rhodocybe hirneola,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Rhodocybe,СК ,../../articles.php?article_id=2398,2398
315,Родоцибе обрубленная,Rhodocybe truncata,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Rhodocybe,ЮК ,../../articles.php?article_id=2343,2343
316,Ругозомицес золотистый,Rugosomyces chrysenteron,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Rugosomyces,ЮК ,../../articles.php?article_id=2515,2515
317,Рыжик еловый,Lactarius deterrimus,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ЮК ,../../articles.php?article_id=39,39
318,Рыжик настоящий,Lactarius deliciosus,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ВК СК ,../../articles.php?article_id=7,7
319,Рядовка грязная,Lepista sordida,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,ЮК ,../../articles.php?article_id=1163,1163
320,Рядовка желто-бурая,Tricholoma flavobrunneum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,СК ,../../articles.php?article_id=2388,2388
321,Рядовка зеленая,Tricholoma equestre,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ВК СК ,../../articles.php?article_id=2159,2159
322,Рядовка землистая,Tricholoma terreum,Съедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ВК СК ,../../articles.php?article_id=38,38
323,Рядовка лиловоногая,Lepista personata,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,ЮК ,../../articles.php?article_id=51,51
324,Рядовка лиственная,Tricholoma frondosae,Несъедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,СК ,../../articles.php?article_id=2530,2530
325,Рядовка мыльная,Tricholoma saponaceum,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ,../../articles.php?article_id=2434,2434
326,Рядовка овернская,Tricholoma arvernense,Несъедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,СК ,../../articles.php?article_id=2519,2519
327,Рядовка опенковидная,Tricholoma focale,Съедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,СК ,../../articles.php?article_id=2474,2474
328,Рядовка оранжевая,Tricholoma aurantium,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ,../../articles.php?article_id=44,44
329,Рядовка полосатая,Tricholoma virgatum,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК СК ,../../articles.php?article_id=2342,2342
330,Рядовка серая,Tricholoma portentosum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК СК ,../../articles.php?article_id=2458,2458
331,Рядовка серебристая,Tricholoma scalpturatum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ,../../articles.php?article_id=138,138
332,Рядовка скученная,Lyophyllum decastes,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lyophyllum,ЮК ,../../articles.php?article_id=107,107
333,Рядовка тополевая,Tricholoma populinum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ВК СК ЗК ,../../articles.php?article_id=137,137
334,Рядовка фиолетовая,Lepista nuda,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,ЮК ,../../articles.php?article_id=673,673
335,Рядовка чешуйчатая,Tricholoma imbricatum,Съедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ВК СК ,../../articles.php?article_id=33,33
336,Саркосфера корончатая,Sarcosphaera coronaria,Ядовит,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Sarcosphaera,ЮК ,../../articles.php?article_id=2236,2236
337,Свинушка ольховая,Paxillus filamentosus,,Basidiomycota,Basidiomycetes,Boletales,Paxillaceae,Paxillus,ЮК ВК СК ЗК ,../../articles.php?article_id=670,670
338,Свинушка тонкая,Paxillus involutus,Условносъедобен,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,,../../articles.php?article_id=34,34
339,Серопластинник горький,Rhodocybe mundula,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Rhodocybe,ЮК ,../../articles.php?article_id=1124,1124
